Iteration,MaxFitness,AvgFitness,TotalEnergy_J,AvgDelay_Hops,MinResidual_J
0,0.8232639518762727,0.773677285519202,0.03377194217958034,2.483333333333333,1.9953389894963407
1,0.824883939771087,0.7709056634311121,0.03330507277982842,2.4566666666666666,1.9953253819152643
2,0.8266749548169471,0.7772407328072652,0.03280242704276839,2.425,1.9953332663697014
3,0.8285976825211223,0.7828604001360858,0.032259241329768956,2.3933333333333335,1.9952996030333667
4,0.830895829479274,0.7853772526505717,0.0316195122227719,2.353333333333333,1.9952903580395744
5,0.8320260757366054,0.7879125836555751,0.03130639905834179,2.335,1.9955568678044133
6,0.832617431015961,0.7898059687978137,0.031148596789453475,2.3241666666666663,1.9955258930580027
7,0.8339489543515601,0.791721627079008,0.0307869486805112,2.3008333333333337,1.9956802704538072
8,0.8355691340647672,0.7936094981148312,0.030341746935743263,2.2733333333333343,1.9957216083527325
9,0.8368218175682902,0.7948775476365227,0.02999648954380306,2.2525,1.9957757929286741
10,0.8371457024173179,0.7957833342837968,0.029911325467616344,2.2466666666666666,1.9958402190276912
11,0.8374950789781682,0.7971231417883885,0.02981554295616542,2.2408333333333332,1.9958811780029053
12,0.837943750527058,0.7983454407036696,0.029694417695949445,2.233333333333333,1.9959435560290517
13,0.8382412918559055,0.7995192906566148,0.029611440325214882,2.228333333333333,1.9959495465731039
14,0.8385932936355129,0.8008502634288782,0.029515296684085725,2.2224999999999997,1.9959453247076844
15,0.8391862088681817,0.8014504932981484,0.02935081292069495,2.213333333333333,1.9960269125387642
16,0.839688394632478,0.8021831128388938,0.02921512578207059,2.204999999999999,1.9960790281448475
17,0.8403699416201388,0.802958159708832,0.02903334960564646,2.193333333333333,1.9961318354047646
18,0.8406408875889394,0.8039419175502638,0.028958862247951682,2.1891666666666665,1.9960773432774641
19,0.8409151413731464,0.8047497783872093,0.028882033415300445,2.185,1.9960398762651694
20,0.8414045950629879,0.8057020741499682,0.028751368025754016,2.1766666666666667,1.9960814250272398
21,0.8418981682103097,0.8061400760202078,0.02861946123943603,2.1683333333333334,1.9960590104379035
22,0.8425108849619832,0.8066232540157515,0.028452848817238235,2.158333333333333,1.9961454678359059
23,0.8425556157791209,0.8074048328106598,0.02844125038512822,2.1575,1.9961598646271987
24,0.8427629907762311,0.8078857326445784,0.028385669196791887,2.154166666666667,1.9962016809658476
25,0.8434185326718813,0.8083477295674606,0.028211068618032152,2.143333333333333,1.9962214705907422
26,0.8436262849315239,0.8090797709113281,0.02815395095300829,2.14,1.996248711914515
27,0.8437843220284137,0.8096923324289026,0.02811200232038608,2.1375,1.996266379051718
28,0.8439009748321766,0.8100399793362044,0.02807912933695504,2.1358333333333333,1.99629778777127
29,0.8440798394350398,0.8104750707351509,0.02802945368911313,2.1333333333333337,1.9962061204288202
30,0.8443774477991625,0.810825640867465,0.02795044581341054,2.1283333333333334,1.996228295077273
31,0.8444408591366954,0.8117174022902017,0.027932560852476418,2.1275,1.996213115780403
32,0.8446136342277273,0.8119183161503899,0.02788480746483204,2.125,1.9962651891053271
33,0.8451542046414586,0.8127582826476352,0.027742830694698017,2.1158333333333337,1.9964037354579784
34,0.8455400588476272,0.8134311406052159,0.027642628065856708,2.1091666666666673,1.996409695016855
35,0.846082115112994,0.8138595048702074,0.027487656955313113,2.1008333333333336,1.9963505361779295
