Iteration,TotalEnergy_J,AverageDelay_Hops,MinResidual_J
0,0.032560570758174756,2.425,1.9953997916042219
1,0.032560570758174756,2.425,1.9953997916042219
2,0.0319624665178368,2.375,1.9964659068278832
3,0.0319624665178368,2.375,1.9964659068278832
4,0.0319624665178368,2.375,1.9964659068278832
5,0.0319624665178368,2.375,1.9964659068278832
6,0.031545713602600604,2.35,1.9957998089705367
7,0.031053378962506394,2.325,1.9956799049958465
8,0.031053378962506394,2.325,1.9956799049958465
9,0.031053378962506394,2.325,1.9956799049958465
10,0.031053378962506394,2.325,1.9956799049958465
11,0.031053378962506394,2.325,1.9956799049958465
12,0.031053378962506394,2.325,1.9956799049958465
13,0.031053378962506394,2.325,1.9956799049958465
14,0.031053378962506394,2.325,1.9956799049958465
15,0.031053378962506394,2.325,1.9956799049958465
16,0.031053378962506394,2.325,1.9956799049958465
17,0.031053378962506394,2.325,1.9956799049958465
18,0.031053378962506394,2.325,1.9956799049958465
19,0.031053378962506394,2.325,1.9956799049958465
20,0.031053378962506394,2.325,1.9956799049958465
21,0.031053378962506394,2.325,1.9956799049958465
22,0.031053378962506394,2.325,1.9956799049958465
23,0.031053378962506394,2.325,1.9956799049958465
24,0.031053378962506394,2.325,1.9956799049958465
25,0.031053378962506394,2.325,1.9956799049958465
26,0.031053378962506394,2.325,1.9956799049958465
27,0.031053378962506394,2.325,1.9956799049958465
28,0.031053378962506394,2.325,1.9956799049958465
29,0.031053378962506394,2.325,1.9956799049958465
30,0.031053378962506394,2.325,1.9956799049958465
31,0.031053378962506394,2.325,1.9956799049958465
32,0.031053378962506394,2.325,1.9956799049958465
33,0.031053378962506394,2.325,1.9956799049958465
34,0.031053378962506394,2.325,1.9956799049958465
35,0.031053378962506394,2.325,1.9956799049958465
36,0.031053378962506394,2.325,1.9956799049958465
37,0.031053378962506394,2.325,1.9956799049958465
38,0.031053378962506394,2.325,1.9956799049958465
39,0.031053378962506394,2.325,1.9956799049958465
40,0.031053378962506394,2.325,1.9956799049958465
41,0.031053378962506394,2.325,1.9956799049958465
42,0.031053378962506394,2.325,1.9956799049958465
43,0.030554518986193505,2.3,1.994999774237907
44,0.030554518986193505,2.3,1.994999774237907
45,0.030554518986193505,2.3,1.994999774237907
46,0.030554518986193505,2.3,1.994999774237907
47,0.030554518986193505,2.3,1.994999774237907
48,0.030554518986193505,2.3,1.994999774237907
49,0.030554518986193505,2.3,1.994999774237907
50,0.030554518986193505,2.3,1.994999774237907
51,0.030554518986193505,2.3,1.994999774237907
52,0.030554518986193505,2.3,1.994999774237907
53,0.030554518986193505,2.3,1.994999774237907
54,0.030554518986193505,2.3,1.994999774237907
55,0.030554518986193505,2.3,1.994999774237907
56,0.030554518986193505,2.3,1.994999774237907
57,0.029987928108290776,2.25,1.9968827069717858
58,0.029987928108290776,2.25,1.9968827069717858
59,0.029987928108290776,2.25,1.9968827069717858
60,0.029987928108290776,2.25,1.9968827069717858
61,0.029987928108290776,2.25,1.9968827069717858
62,0.029987928108290776,2.25,1.9968827069717858
63,0.029987928108290776,2.25,1.9968827069717858
64,0.029987928108290776,2.25,1.9968827069717858
65,0.029987928108290776,2.25,1.9968827069717858
66,0.029987928108290776,2.25,1.9968827069717858
67,0.029987928108290776,2.25,1.9968827069717858
68,0.029987928108290776,2.25,1.9968827069717858
69,0.029987928108290776,2.25,1.9968827069717858
70,0.029987928108290776,2.25,1.9968827069717858
71,0.029690143653177563,2.25,1.9965243273804132
72,0.02966681385506287,2.225,1.9965017404511471
73,0.02966681385506287,2.225,1.9965017404511471
74,0.02966681385506287,2.225,1.9965017404511471
75,0.02966681385506287,2.225,1.9965017404511471
76,0.029028230166139982,2.2,1.9961957585186276
77,0.029028230166139982,2.2,1.9961957585186276
78,0.029028230166139982,2.2,1.9961957585186276
79,0.028227029349533497,2.15,1.9961957585186276
80,0.028227029349533497,2.15,1.9961957585186276
81,0.028227029349533497,2.15,1.9961957585186276
82,0.028227029349533497,2.15,1.9961957585186276
83,0.028227029349533497,2.15,1.9961957585186276
84,0.027828081361081752,2.125,1.9965961826667649
85,0.027828081361081752,2.125,1.9965961826667649
86,0.027828081361081752,2.125,1.9965961826667649
87,0.027828081361081752,2.125,1.9965961826667649
88,0.027271905388434877,2.1,1.9953949102223532
89,0.026877955831989347,2.075,1.9961957585186276
90,0.026877955831989347,2.075,1.9961957585186276
91,0.026877955831989347,2.075,1.9961957585186276
92,0.026877955831989347,2.075,1.9961957585186276
93,0.026877955831989347,2.075,1.9961957585186276
94,0.026877955831989347,2.075,1.9961957585186276
95,0.026877955831989347,2.075,1.9961957585186276
96,0.026877955831989347,2.075,1.9961957585186276
97,0.026877955831989347,2.075,1.9961957585186276
98,0.026877955831989347,2.075,1.9961957585186276
99,0.026877955831989347,2.075,1.9961957585186276
100,0.02685992219358116,2.075,1.9961957585186276
101,0.02684933082731853,2.075,1.9957953343704904
102,0.026837558783616624,2.075,1.9957953343704904
103,0.026466903823049375,2.05,1.9961957585186276
104,0.026466903823049375,2.05,1.9961957585186276
105,0.026466903823049375,2.05,1.9961957585186276
106,0.026466903823049375,2.05,1.9961957585186276
107,0.026466903823049375,2.05,1.9961957585186276
108,0.026466903823049375,2.05,1.9961957585186276
109,0.026466903823049375,2.05,1.9961957585186276
110,0.026466903823049375,2.05,1.9961957585186276
111,0.026466903823049375,2.05,1.9961957585186276
112,0.026466903823049375,2.05,1.9961957585186276
113,0.026466903823049375,2.05,1.9961957585186276
114,0.026466903823049375,2.05,1.9961957585186276
115,0.026466903823049375,2.05,1.9961957585186276
116,0.026466903823049375,2.05,1.9961957585186276
117,0.026466903823049375,2.05,1.9961957585186276
118,0.026466903823049375,2.05,1.9961957585186276
119,0.026466903823049375,2.05,1.9961957585186276
120,0.026466903823049375,2.05,1.9961957585186276
121,0.026466903823049375,2.05,1.9961957585186276
122,0.026466903823049375,2.05,1.9961957585186276
123,0.026466903823049375,2.05,1.9961957585186276
124,0.026466903823049375,2.05,1.9961957585186276
125,0.026466903823049375,2.05,1.9961957585186276
126,0.026466903823049375,2.05,1.9961957585186276
127,0.026466903823049375,2.05,1.9961957585186276
128,0.026466903823049375,2.05,1.9961957585186276
129,0.026466903823049375,2.05,1.9961957585186276
130,0.026466903823049375,2.05,1.9961957585186276
131,0.026466903823049375,2.05,1.9961957585186276
132,0.026466903823049375,2.05,1.9961957585186276
133,0.026466903823049375,2.05,1.9961957585186276
134,0.026466903823049375,2.05,1.9961957585186276
135,0.026466903823049375,2.05,1.9961957585186276
136,0.026466903823049375,2.05,1.9961957585186276
137,0.026466903823049375,2.05,1.9961957585186276
138,0.026466903823049375,2.05,1.9961957585186276
139,0.026466903823049375,2.05,1.9961957585186276
140,0.026466903823049375,2.05,1.9961957585186276
141,0.026466903823049375,2.05,1.9961957585186276
142,0.026466903823049375,2.05,1.9961957585186276
143,0.026466903823049375,2.05,1.9961957585186276
144,0.026466903823049375,2.05,1.9961957585186276
145,0.026466903823049375,2.05,1.9961957585186276
146,0.026460874777364096,2.05,1.9965961826667649
147,0.026460874777364096,2.05,1.9965961826667649
148,0.026460874777364096,2.05,1.9965961826667649
149,0.026460874777364096,2.05,1.9965961826667649
150,0.026460874777364096,2.05,1.9965961826667649
