Generation,TotalEnergy_J,AverageDelay_Hops,MinResidual_J
0,0.03573946128780243,2.6,1.996053383714732
1,0.03351842291257105,2.45,1.9940362340852453
2,0.0316061741643982,2.35,1.994858069540546
3,0.029322896854034355,2.225,1.9973235759064478
4,0.02872206144129428,2.175,1.9965998437031665
5,0.028078321072759198,2.15,1.9973801303276975
6,0.02669371184494426,2.05,1.9977120302288394
7,0.02669371184494426,2.05,1.9977120302288394
8,0.025347800685505597,1.975,1.996996606814902
9,0.02427983935152245,1.9,1.9973235759064478
10,0.023891532198000293,1.875,1.997070653417749
11,0.02350525687340269,1.85,1.9969126581787975
12,0.022595006375732023,1.8,1.9977344936340982
13,0.022595006375732023,1.8,1.9977344936340982
14,0.02251726437129615,1.8,1.9984118019529993
15,0.021851693485645446,1.75,1.997517702929499
16,0.0212830847240243,1.725,1.997517702929499
17,0.020502217314517825,1.675,1.9979647524412492
18,0.020481276797926606,1.675,1.9984118019529993
19,0.020101287693476796,1.65,1.9984118019529993
20,0.020101287693476796,1.65,1.9984118019529993
21,0.0200925418071562,1.65,1.9985197834763078
22,0.02009215131250008,1.65,1.9985197834763078
23,0.020049549801695585,1.65,1.9979647524412492
24,0.020050148898392402,1.65,1.9984118019529993
25,0.02003912132015095,1.65,1.9984118019529993
26,0.02003112810793728,1.65,1.9984118019529993
27,0.019997107025291058,1.65,1.998043223130588
28,0.01998802788410088,1.65,1.998043223130588
29,0.019976647650842446,1.65,1.998043223130588
30,0.019968445282257677,1.65,1.998043223130588
31,0.019952250754130426,1.65,1.998043223130588
32,0.019952250754130426,1.65,1.998043223130588
33,0.019950073749082815,1.65,1.998043223130588
34,0.019950073749082815,1.65,1.998043223130588
35,0.019950073749082815,1.65,1.998043223130588
36,0.019949321074975896,1.65,1.998043223130588
37,0.019948266888317964,1.65,1.998043223130588
38,0.019948266888317964,1.65,1.998043223130588
39,0.019556668106486687,1.625,1.998043223130588
40,0.019556668106486687,1.625,1.998043223130588
41,0.019555915432379768,1.625,1.998043223130588
42,0.019555915432379768,1.625,1.998043223130588
43,0.019554108571614916,1.625,1.998043223130588
44,0.019171873431648716,1.6,1.998043223130588
45,0.019171873431648716,1.6,1.998043223130588
46,0.019170066570883864,1.6,1.998043223130588
47,0.019170066570883864,1.6,1.998043223130588
48,0.019170066570883864,1.6,1.998043223130588
49,0.019170066570883864,1.6,1.998043223130588
50,0.019170066570883864,1.6,1.998043223130588
