Generation,BestFitness,AvgFitness,Diversity
0,0.8163150945743296,0.7772948125555535,32.10727272727273
1,0.8242912595867266,0.7886947754669913,31.40707070707071
2,0.8309084486008237,0.7994142921059705,30.33252525252525
3,0.8390445786276822,0.8103632321395251,28.775959595959595
4,0.8414396684616885,0.8177838602914285,26.986262626262626
5,0.8436308077583881,0.8257074127920491,25.19070707070707
6,0.8490339476958757,0.8314998106281678,23.912525252525253
7,0.8490339476958757,0.8346697431725218,22.454747474747474
8,0.8540174061807408,0.8389475555195051,20.95090909090909
9,0.8582515531957253,0.8437225145046598,19.394343434343433
10,0.859763810190257,0.8497345738907576,17.295353535353534
11,0.8612764358553605,0.8523850674795714,15.977171717171718
12,0.8647421768258734,0.8557220393106638,14.105252525252526
13,0.8647421768258734,0.8585183884308328,12.596161616161616
14,0.8649823907133629,0.8600476044228764,11.64121212121212
15,0.8677210802104669,0.8620188901406636,11.102424242424242
16,0.8698151042104214,0.8635138222508665,10.41939393939394
17,0.872951183192342,0.8644641834873059,10.454949494949496
18,0.873020138339531,0.8654893971462434,9.61939393939394
19,0.8745623964444068,0.8669892487286514,9.043030303030303
20,0.8745623964444068,0.8687031787245101,8.271717171717171
21,0.8745903955967933,0.8708089341902329,7.293333333333333
22,0.8745915903689335,0.8720518365820605,6.748888888888889
23,0.8747155738616,0.8727262343956356,6.211515151515152
24,0.8747188803882882,0.873625750665286,5.537171717171717
25,0.8747526319519335,0.8743478685329059,4.819393939393939
26,0.874777098009712,0.8740776195986403,4.475757575757576
27,0.8748770076580207,0.8745509915382229,4.312929292929293
28,0.8749048055950217,0.8743046422272492,4.1337373737373735
29,0.8749396513642309,0.8744403207512561,4.151919191919192
30,0.8749647683741456,0.874668200630991,3.6795959595959595
31,0.8750143629336474,0.874650672170783,3.5662626262626262
32,0.8750143629336474,0.8746875058587146,2.6486868686868688
33,0.8750210302812874,0.8743606404906088,2.3127272727272725
34,0.8750210302812874,0.8743266464222923,2.2276767676767677
35,0.8750210302812874,0.8746877133096266,1.733131313131313
36,0.8750233354626167,0.8747130624911236,1.3197979797979797
37,0.8750265640933714,0.8747129915364081,0.9115151515151515
38,0.8750265640933714,0.8747083517908056,0.7890909090909091
39,0.8766116099266551,0.8748262735567188,0.9092929292929293
40,0.8766116099266551,0.8748753539992038,1.1181818181818182
41,0.8766139234961526,0.8748899599531239,1.3664646464646464
42,0.8766139234961526,0.8750465503993899,1.3343434343434344
43,0.8766194774742041,0.8752198668403929,1.6375757575757577
44,0.8781814186852549,0.8756981649459482,1.8131313131313131
45,0.8781814186852549,0.876367827109441,1.3894949494949496
46,0.8781869925435408,0.8764497560941037,1.3432323232323233
47,0.8781869925435408,0.8768452135374274,1.5056565656565657
48,0.8781869925435408,0.8771529026523004,1.707070707070707
49,0.8781869925435408,0.8778033806507382,1.1254545454545455
50,0.8781869925435408,0.8776229131031179,0.6642424242424242
51,0.8782224626801566,0.8777168784191235,0.45636363636363636
52,0.8782410512884621,0.8777760991391373,0.5755555555555556
53,0.8797638478282255,0.8779066093470952,0.5593939393939394
54,0.8797638478282255,0.8778016330975101,0.8543434343434343
55,0.8797994454607413,0.8780470661938692,0.9977777777777778
56,0.879853702910264,0.8783160835926057,1.4157575757575758
57,0.879853702910264,0.8789979397007541,1.4555555555555555
58,0.879853702910264,0.8793802457244082,1.2121212121212122
59,0.879853702910264,0.879645979866371,0.9545454545454546
60,0.879853702910264,0.8795715694202612,0.7056565656565656
61,0.879853702910264,0.8795587847705173,0.2991919191919192
62,0.879853702910264,0.8794614186809485,0.26
63,0.879853702910264,0.8795601948068691,0.3387878787878788
64,0.879853702910264,0.879492401508755,0.41878787878787876
65,0.879853702910264,0.8794888638274005,0.2991919191919192
66,0.8798784675911039,0.8793176260360599,0.2995959595959596
67,0.8798784675911039,0.879654254365485,0.33434343434343433
68,0.8798784675911039,0.8795289562122107,0.4533333333333333
69,0.8798784675911039,0.8793742753024546,0.6373737373737374
70,0.8798784675911039,0.8796186080241201,0.7795959595959596
71,0.8798784675911039,0.8796072764423409,0.7496969696969698
72,0.8798817530376443,0.8795807122316603,0.3878787878787879
73,0.8798817530376443,0.8795868210373871,0.3181818181818182
74,0.8798817530376443,0.8795360882049905,0.6218181818181818
75,0.8798817530376443,0.8797249714305149,0.7648484848484849
76,0.8798817530376443,0.8796948483589303,0.7593939393939394
77,0.8798817530376443,0.8795188572770849,0.666060606060606
78,0.8798817530376443,0.8796336345962626,0.35838383838383836
79,0.8798817530376443,0.879533392877402,0.49717171717171715
80,0.8798817530376443,0.8795942954720314,0.37777777777777777
81,0.8798817530376443,0.8795075263103856,0.2197979797979798
82,0.8798817530376443,0.8791915138241224,0.4385858585858586
83,0.8798817530376443,0.8796705078999741,0.22
84,0.8798817530376443,0.8794635154279048,0.3987878787878788
85,0.8798817530376443,0.8795229815874124,0.2793939393939394
86,0.8798817530376443,0.8795678834080322,0.2385858585858586
87,0.8798817530376443,0.8796363689917764,0.2793939393939394
88,0.8798817530376443,0.8794630867881124,0.2197979797979798
89,0.8798817530376443,0.8795838357980452,0.35898989898989897
90,0.8798817530376443,0.8794484418938409,0.3387878787878788
91,0.8798817530376443,0.8796179539883242,0.3383838383838384
92,0.8798817530376443,0.8793752807743833,0.35818181818181816
93,0.8798817530376443,0.8795183757212091,0.2997979797979798
94,0.8798817530376443,0.8794006419512742,0.458989898989899
95,0.8798817530376443,0.8795360470425366,0.32
96,0.8798817530376443,0.8794845044942828,0.378989898989899
97,0.8798817530376443,0.8788520094080502,0.5957575757575757
98,0.8798817530376443,0.8793744769301364,0.3987878787878788
99,0.8798817530376443,0.8797179174800948,0.1997979797979798
100,0.8798817530376443,0.8796664272793171,0.26
101,0.8798817530376443,0.8795699535839367,0.37717171717171716
102,0.8798817530376443,0.8795665280450587,0.3395959595959596
103,0.8798817530376443,0.8796733610906395,0.1997979797979798
104,0.8798817530376443,0.8792058833240006,0.278989898989899
105,0.8798817530376443,0.879700023065528,0.2793939393939394
106,0.8798817530376443,0.8795850240244437,0.3191919191919192
107,0.8798817530376443,0.8795881494460421,0.2593939393939394
108,0.8798817530376443,0.879565466466258,0.258989898989899
109,0.8798817530376443,0.8796817592230539,0.2993939393939394
110,0.8798817530376443,0.8796855621311,0.238989898989899
111,0.8798817530376443,0.8796205134448384,0.2591919191919192
112,0.8798817530376443,0.8795861995435041,0.318989898989899
113,0.8798817530376443,0.879668903589835,0.3387878787878788
114,0.8814774975313849,0.8794788599271643,0.3393939393939394
115,0.8814774975313849,0.8796470977957701,0.39656565656565657
116,0.8814774975313849,0.8796940579148094,0.5426262626262627
117,0.8814774975313849,0.879892987788747,0.7264646464646465
118,0.8814774975313849,0.8806352955295668,0.8745454545454545
119,0.8814774975313849,0.881100002869877,0.5296969696969697
120,0.8814936177892239,0.8812921412650161,0.37757575757575756
121,0.8814936177892239,0.8812961938175253,0.35474747474747476
122,0.8814936177892239,0.88106935146439,0.5678787878787879
123,0.8814936177892239,0.8809021490551817,0.8262626262626263
124,0.8814936177892239,0.8812253377983531,0.7402020202020202
125,0.8814936177892239,0.8811940498217327,0.5303030303030303
126,0.8814936177892239,0.8811214345454057,0.45696969696969697
127,0.8814936177892239,0.8813445960868975,0.2397979797979798
128,0.8814936177892239,0.8812918509141581,0.2
129,0.8814936177892239,0.8812591136640855,0.2991919191919192
130,0.8814936177892239,0.8813110866084162,0.318989898989899
131,0.8814936177892239,0.8811654688856335,0.35858585858585856
132,0.8814936177892239,0.881346160998764,0.1995959595959596
133,0.8814936177892239,0.8812232397148863,0.35838383838383836
134,0.8814936177892239,0.8810757726779928,0.2995959595959596
135,0.8814936177892239,0.8810865718163103,0.3995959595959596
136,0.8814936177892239,0.8812468410292388,0.2593939393939394
137,0.8814936177892239,0.8810864549449592,0.3985858585858586
138,0.8814936177892239,0.8811940711041875,0.2995959595959596
139,0.8814936177892239,0.8812603460292161,0.24
140,0.8814936177892239,0.8813772113478006,0.16
141,0.8814936177892239,0.8811822773720455,0.2793939393939394
142,0.8814936177892239,0.8811912898212533,0.3191919191919192
143,0.8814936177892239,0.8812128834726337,0.3193939393939394
144,0.8814936177892239,0.8811658498640399,0.2193939393939394
145,0.8814936177892239,0.8812236833622293,0.3195959595959596
146,0.8814936177892239,0.881099396324019,0.4781818181818182
147,0.8814936177892239,0.8812302653608076,0.2997979797979798
148,0.8814936177892239,0.8809265755019358,0.41858585858585856
149,0.8814936177892239,0.88115106906166,0.3393939393939394
150,0.8814936177892239,0.8811471403689076,0.2197979797979798
151,0.8814936177892239,0.8812603353188351,0.2597979797979798
152,0.8814936177892239,0.8810641307915743,0.3987878787878788
153,0.8814936177892239,0.8812112241804723,0.3595959595959596
154,0.8814936177892239,0.8809310598672907,0.3995959595959596
155,0.8814936177892239,0.880909492816861,0.3795959595959596
156,0.8814936177892239,0.8811628299949146,0.32
157,0.8814936177892239,0.8809157366380214,0.3783838383838384
158,0.8814936177892239,0.8811218795553606,0.2791919191919192
159,0.8814936177892239,0.8810663706226275,0.2791919191919192
160,0.8814936177892239,0.8810356317115767,0.3785858585858586
161,0.8814936177892239,0.8811509979478431,0.318989898989899
162,0.8814936177892239,0.8812127622144387,0.2791919191919192
163,0.8814936177892239,0.8812749487003656,0.1797979797979798
164,0.8814936177892239,0.8813593422804525,0.2191919191919192
