Run,Seed,Best_Fitness,Best_Energy_J,Best_Delay_Hops,Min_Residual_J
1,42,0.8601394720929446,0.023763200555711298,1.875,1.9967155164972605
2,43,0.8564100622842908,0.02477119871593286,1.925,1.9946715359033567
3,44,0.8587873761742271,0.02409937286011402,1.9,1.997663504034422
4,45,0.8632261584261912,0.022977012484705583,1.825,1.9975417804996294
5,46,0.8612881503419509,0.02349948762182637,1.85,1.9964285948493574
6,47,0.8624634049371821,0.02310578149941761,1.85,1.9969141648250843
7,48,0.8619725540497228,0.023275124747531194,1.85,1.9980521129157884
8,49,0.8575964715390665,0.024376958107407996,1.925,1.9972211185842355
9,50,0.8511526968934402,0.02607652878671464,2.025,1.9952642061764831
10,51,0.8636939831253443,0.022819583605196005,1.825,1.9973930052487108
11,52,0.8518337412309118,0.02597012092611674,2.0,1.9961728016968752
12,53,0.8735726271917507,0.020297215935466732,1.675,1.997626221272683
13,54,0.8710019594775326,0.02101666569919959,1.7,1.9975776010282034
14,55,0.8564815325738736,0.024634518219580414,1.95,1.9980402528955616
15,56,0.8598356021871961,0.02386482301486198,1.875,1.9964245718526317
16,57,0.8623120262813514,0.02315987281438129,1.85,1.9977666056304233
17,58,0.8698112184120049,0.021283781213720262,1.725,1.9973614318030974
18,59,0.858440907411448,0.024210158629784935,1.9,1.9958809626121417
19,60,0.868242678796975,0.021674526129544288,1.75,1.9964319103397825
20,61,0.8711130319958312,0.020980626077540258,1.7,1.9977260545405136
21,62,0.867478586642013,0.021932113803869332,1.75,1.9974863757291552
22,63,0.8734899134429548,0.020327392871174275,1.675,1.9984452674969695
23,64,0.8568264959589136,0.024640550654581928,1.925,1.9976543702245109
24,65,0.8640913852340858,0.022686372128299354,1.825,1.9973692701867842
25,66,0.8598019928726627,0.02387707512834976,1.875,1.996660204486688
26,67,0.8552258719518389,0.025055633492542997,1.95,1.9960603678319249
27,68,0.8623127430635593,0.023152721435105418,1.85,1.9959296390020311
28,69,0.8619060920969397,0.02329475484565557,1.85,1.99732461652411
29,70,0.844921426544598,0.02774608733818235,2.125,1.9961636033328582
30,71,0.8607697963606427,0.023554431484867515,1.875,1.9977974551111766
