Iteration,BestFitness,AvgFitness
0,0.8272588780811504,0.7729107848147967
1,0.8272588780811504,0.7774520821467564
2,0.829598087778554,0.7849176472961177
3,0.829598087778554,0.785774682865947
4,0.829598087778554,0.7856983811027637
5,0.829598087778554,0.7883275337400845
6,0.8310852547375532,0.7915042125593232
7,0.8327930882758088,0.7915448377932592
8,0.8327930882758088,0.7827183931480992
9,0.8327930882758088,0.784242559211583
10,0.8327930882758088,0.7870919600962746
11,0.8327930882758088,0.7874321737591531
12,0.8327930882758088,0.7838008261116649
13,0.8327930882758088,0.7845140078932819
14,0.8327930882758088,0.7869121567370031
15,0.8327930882758088,0.7843900837677661
16,0.8327930882758088,0.7850996557086494
17,0.8327930882758088,0.7848521101958609
18,0.8327930882758088,0.7859965845859256
19,0.8327930882758088,0.7846297208235761
20,0.8327930882758088,0.7853137543274329
21,0.8327930882758088,0.7896218035081816
22,0.8327930882758088,0.7862708684446222
23,0.8327930882758088,0.7872113168056356
24,0.8327930882758088,0.7841837202170718
25,0.8327930882758088,0.7850970640708694
26,0.8327930882758088,0.7891379549101971
27,0.8327930882758088,0.7859277035903355
28,0.8327930882758088,0.7865974933529963
29,0.8327930882758088,0.7854144137708837
30,0.8327930882758088,0.7872885633820803
31,0.8327930882758088,0.7880057277356812
32,0.8327930882758088,0.7867139380536033
33,0.8327930882758088,0.7871889192807958
34,0.8327930882758088,0.7887264138063458
35,0.8327930882758088,0.7887677467484865
36,0.8327930882758088,0.788577425913481
37,0.8327930882758088,0.7885453071290657
38,0.8327930882758088,0.7854923384258231
39,0.8327930882758088,0.7891489653843102
40,0.8327930882758088,0.7880471992137185
41,0.8327930882758088,0.785463955989285
42,0.8327930882758088,0.7877892237319601
43,0.8345202524905092,0.7886933479628288
44,0.8345202524905092,0.7920315032933832
45,0.8345202524905092,0.7909224003090052
46,0.8345202524905092,0.7886478832884165
47,0.8345202524905092,0.7911609549031945
48,0.8345202524905092,0.7909147003004544
49,0.8345202524905092,0.790458762185645
50,0.8345202524905092,0.7896196082782292
51,0.8345202524905092,0.7886129364020747
52,0.8345202524905092,0.7894838073559094
53,0.8345202524905092,0.7903346705667214
54,0.8345202524905092,0.7912234322980615
55,0.8345202524905092,0.788814348994751
56,0.8345202524905092,0.7910416905774617
57,0.8368211026964117,0.7906484351967468
58,0.8368211026964117,0.7858459167943782
59,0.8368211026964117,0.7878308993701002
60,0.8368211026964117,0.7846365451650535
61,0.8368211026964117,0.7881887693357414
62,0.8368211026964117,0.78878916751489
63,0.8368211026964117,0.7862006086666785
64,0.8368211026964117,0.7861798964353528
65,0.8368211026964117,0.7892575529604672
66,0.8368211026964117,0.7874700589765657
67,0.8368211026964117,0.7868272379499374
68,0.8368211026964117,0.790220793886739
69,0.8368211026964117,0.7908076472989759
70,0.8368211026964117,0.7903621511188546
71,0.8376522681052008,0.7886700494356573
72,0.8380685454468453,0.7941652051917003
73,0.8380685454468453,0.7891457885134987
74,0.8380685454468453,0.7905808963457046
75,0.8380685454468453,0.7929198043941557
76,0.8402160379021929,0.7937545338641544
77,0.8402160379021929,0.7916647870137665
78,0.8402160379021929,0.7943503545770702
79,0.8431949978862261,0.7940267811386598
80,0.8431949978862261,0.7945984879212511
81,0.8431949978862261,0.7956728118104244
82,0.8431949978862261,0.7961551397382304
83,0.8431949978862261,0.7970636626357407
84,0.8446919983209629,0.7969495596638623
85,0.8446919983209629,0.7983783390525073
86,0.8446919983209629,0.7978746261568496
87,0.8446919983209629,0.7976539395641241
88,0.8466276039491707,0.7992557874962257
89,0.8481267878706438,0.795206377159188
90,0.8481267878706438,0.797293700604786
91,0.8481267878706438,0.7973803881509042
