Iteration,TotalEnergy_J,AverageDelay_Hops,MinResidual_J
0,0.03426971342792777,2.525,1.9969126581787975
1,0.03426971342792777,2.525,1.9969126581787975
2,0.03426971342792777,2.525,1.9969126581787975
3,0.0326782066560369,2.425,1.994999774237907
4,0.031286837503802505,2.35,1.9961957585186276
5,0.031286837503802505,2.35,1.9961957585186276
6,0.031286837503802505,2.35,1.9961957585186276
7,0.031286837503802505,2.35,1.9961957585186276
8,0.031286837503802505,2.35,1.9961957585186276
9,0.031286837503802505,2.35,1.9961957585186276
10,0.031286837503802505,2.35,1.9961957585186276
11,0.03026164848104958,2.275,1.9941936377779415
12,0.03026164848104958,2.275,1.9941936377779415
13,0.03026164848104958,2.275,1.9941936377779415
14,0.03026164848104958,2.275,1.9941936377779415
15,0.03026164848104958,2.275,1.9941936377779415
16,0.03026164848104958,2.275,1.9941936377779415
17,0.03026164848104958,2.275,1.9941936377779415
18,0.03026164848104958,2.275,1.9941936377779415
19,0.03026164848104958,2.275,1.9941936377779415
20,0.03026164848104958,2.275,1.9941936377779415
21,0.030203036954906858,2.275,1.9961716147538535
22,0.030203036954906858,2.275,1.9961716147538535
23,0.030203036954906858,2.275,1.9961716147538535
24,0.030203036954906858,2.275,1.9961716147538535
25,0.030203036954906858,2.275,1.9961716147538535
26,0.030203036954906858,2.275,1.9961716147538535
27,0.030203036954906858,2.275,1.9961716147538535
28,0.030203036954906858,2.275,1.9961716147538535
29,0.030203036954906858,2.275,1.9961716147538535
30,0.030203036954906858,2.275,1.9961716147538535
31,0.030203036954906858,2.275,1.9961716147538535
32,0.030203036954906858,2.275,1.9961716147538535
33,0.030203036954906858,2.275,1.9961716147538535
34,0.030203036954906858,2.275,1.9961716147538535
35,0.030203036954906858,2.275,1.9961716147538535
36,0.030203036954906858,2.275,1.9961716147538535
37,0.030203036954906858,2.275,1.9961716147538535
38,0.030203036954906858,2.275,1.9961716147538535
39,0.030203036954906858,2.275,1.9961716147538535
40,0.030092920391597545,2.275,1.9960510075865368
41,0.030092920391597545,2.275,1.9960510075865368
42,0.030092920391597545,2.275,1.9960510075865368
43,0.030092920391597545,2.275,1.9960510075865368
44,0.030092920391597545,2.275,1.9960510075865368
45,0.030092920391597545,2.275,1.9960510075865368
46,0.030092920391597545,2.275,1.9960510075865368
47,0.030092920391597545,2.275,1.9960510075865368
48,0.030092920391597545,2.275,1.9960510075865368
49,0.030092920391597545,2.275,1.9960510075865368
50,0.030092920391597545,2.275,1.9960510075865368
51,0.030092920391597545,2.275,1.9960510075865368
52,0.030092920391597545,2.275,1.9960510075865368
53,0.029578508163747016,2.225,1.9956799049958465
54,0.029578508163747016,2.225,1.9956799049958465
55,0.029578508163747016,2.225,1.9956799049958465
56,0.029578508163747016,2.225,1.9956799049958465
57,0.029578508163747016,2.225,1.9956799049958465
58,0.029578508163747016,2.225,1.9956799049958465
59,0.029578508163747016,2.225,1.9956799049958465
60,0.029578508163747016,2.225,1.9956799049958465
61,0.029578508163747016,2.225,1.9956799049958465
62,0.029578508163747016,2.225,1.9956799049958465
63,0.029578508163747016,2.225,1.9956799049958465
64,0.029578508163747016,2.225,1.9956799049958465
65,0.029578508163747016,2.225,1.9956799049958465
66,0.029578508163747016,2.225,1.9956799049958465
67,0.029578508163747016,2.225,1.9956799049958465
68,0.029578508163747016,2.225,1.9956799049958465
69,0.029578508163747016,2.225,1.9956799049958465
70,0.029578508163747016,2.225,1.9956799049958465
71,0.029578508163747016,2.225,1.9956799049958465
72,0.029578508163747016,2.225,1.9956799049958465
73,0.029578508163747016,2.225,1.9956799049958465
74,0.029578508163747016,2.225,1.9956799049958465
75,0.029578508163747016,2.225,1.9956799049958465
76,0.029578508163747016,2.225,1.9956799049958465
77,0.029578508163747016,2.225,1.9956799049958465
78,0.029578508163747016,2.225,1.9956799049958465
79,0.029578508163747016,2.225,1.9956799049958465
80,0.029578508163747016,2.225,1.9956799049958465
81,0.029578508163747016,2.225,1.9956799049958465
82,0.029578508163747016,2.225,1.9956799049958465
83,0.029578508163747016,2.225,1.9956799049958465
84,0.029578508163747016,2.225,1.9956799049958465
85,0.029578508163747016,2.225,1.9956799049958465
86,0.029578508163747016,2.225,1.9956799049958465
87,0.029578508163747016,2.225,1.9956799049958465
88,0.029578508163747016,2.225,1.9956799049958465
89,0.029578508163747016,2.225,1.9956799049958465
90,0.029578508163747016,2.225,1.9956799049958465
91,0.029578508163747016,2.225,1.9956799049958465
92,0.029578508163747016,2.225,1.9956799049958465
93,0.02879499736758056,2.175,1.9968808060692294
94,0.02879499736758056,2.175,1.9968808060692294
95,0.02879499736758056,2.175,1.9968808060692294
96,0.02879499736758056,2.175,1.9968808060692294
97,0.02879499736758056,2.175,1.9968808060692294
98,0.02879499736758056,2.175,1.9968808060692294
99,0.02879499736758056,2.175,1.9968808060692294
100,0.02879499736758056,2.175,1.9968808060692294
101,0.02879499736758056,2.175,1.9968808060692294
102,0.02879499736758056,2.175,1.9968808060692294
103,0.02879499736758056,2.175,1.9968808060692294
104,0.02879499736758056,2.175,1.9968808060692294
105,0.02879499736758056,2.175,1.9968808060692294
106,0.02879499736758056,2.175,1.9968808060692294
107,0.02879499736758056,2.175,1.9968808060692294
108,0.02879499736758056,2.175,1.9968808060692294
109,0.02879499736758056,2.175,1.9968808060692294
110,0.02879499736758056,2.175,1.9968808060692294
111,0.02879499736758056,2.175,1.9968808060692294
112,0.02879499736758056,2.175,1.9968808060692294
113,0.02879499736758056,2.175,1.9968808060692294
114,0.02879499736758056,2.175,1.9968808060692294
115,0.02879499736758056,2.175,1.9968808060692294
116,0.02879499736758056,2.175,1.9968808060692294
117,0.02879499736758056,2.175,1.9968808060692294
118,0.02879499736758056,2.175,1.9968808060692294
119,0.02879499736758056,2.175,1.9968808060692294
120,0.02879499736758056,2.175,1.9968808060692294
121,0.02879499736758056,2.175,1.9968808060692294
122,0.02879499736758056,2.175,1.9968808060692294
123,0.02879499736758056,2.175,1.9968808060692294
124,0.02879499736758056,2.175,1.9968808060692294
125,0.02879499736758056,2.175,1.9968808060692294
126,0.02879499736758056,2.175,1.9968808060692294
127,0.02879499736758056,2.175,1.9968808060692294
128,0.02879499736758056,2.175,1.9968808060692294
129,0.02879499736758056,2.175,1.9968808060692294
130,0.02879499736758056,2.175,1.9968808060692294
131,0.02879499736758056,2.175,1.9968808060692294
132,0.02879499736758056,2.175,1.9968808060692294
133,0.02879499736758056,2.175,1.9968808060692294
134,0.02879499736758056,2.175,1.9968808060692294
135,0.02879499736758056,2.175,1.9968808060692294
136,0.02879499736758056,2.175,1.9968808060692294
137,0.02879499736758056,2.175,1.9968808060692294
138,0.02879499736758056,2.175,1.9968808060692294
139,0.02879499736758056,2.175,1.9968808060692294
