Iteration,MaxFitness,AvgFitness,TotalEnergy_J,AvgDelay_Hops,MinResidual_J
0,0.8258479619014487,0.7746935918476111,0.03304658900673521,2.4383333333333326,1.995304027792075
1,0.8299812055984416,0.7755427033871669,0.0319030235280018,2.3649999999999998,1.9955862862640166
2,0.8320814202370636,0.7749612743440647,0.03131365660162723,2.3291666666666666,1.995800935788217
3,0.8345470055229305,0.777543526848656,0.030632888263406762,2.2875,1.9959453613825369
4,0.8353818175092831,0.7759075075707856,0.03039864022948376,2.2741666666666664,1.9959617716061515
5,0.8357502151603133,0.7747945148428819,0.030293835366683963,2.2683333333333335,1.9960384041297112
6,0.8362317676795967,0.7758108896939107,0.0301592714415199,2.2608333333333337,1.9961097717177945
7,0.836418510946739,0.7755344988012202,0.030110247943850928,2.2575,1.9961207616787666
8,0.8376252224876619,0.7763697444125395,0.02977844202046675,2.2375,1.996046051555058
9,0.838172979841343,0.7776633296370078,0.02962922898640874,2.2283333333333335,1.996003316729329
10,0.8383018075488712,0.7750674955789134,0.02959162575733234,2.226666666666667,1.9960041326789182
11,0.8384308817489254,0.7761095569067126,0.029557452789907245,2.2241666666666675,1.9959373953208952
12,0.8385895819045684,0.7760030780568516,0.029513535516807323,2.221666666666667,1.9959198830737825
13,0.8386906922842583,0.7758936847733118,0.02948981863322801,2.219166666666667,1.9959657771384982
14,0.838802305965093,0.7759669849917984,0.02946168926229418,2.2166666666666677,1.995856521082896
15,0.8388193589516607,0.7741669540263225,0.02945554019868367,2.2166666666666677,1.995833043297135
16,0.8389310552052688,0.7771891363015454,0.029424173520081975,2.2150000000000007,1.995888941716299
17,0.8393343969939472,0.774932978722275,0.029313715597973668,2.208333333333334,1.9960340389807385
18,0.8393343969939472,0.7748193613601857,0.029313715597973668,2.208333333333334,1.9960340389807385
19,0.8394596251252501,0.7766479998366176,0.029281693736458274,2.205833333333334,1.9960384985609165
20,0.8394872657087616,0.7755667745201472,0.029272059146520098,2.205833333333334,1.996051975695803
21,0.8395538676864899,0.7751965194686821,0.029256920950336208,2.204166666666667,1.996135463612186
22,0.8396255173928352,0.7753064652100315,0.029239698927818924,2.2025000000000006,1.9960988858821314
23,0.8396255173928352,0.7759479251260581,0.029239698927818924,2.2025000000000006,1.9960988858821314
24,0.8396296309336735,0.7769683761889806,0.02923793590952065,2.2025000000000006,1.9960193778028956
25,0.8396296309336735,0.7741228942580488,0.02923793590952065,2.2025000000000006,1.9960193778028956
26,0.8396520085516559,0.7760854644350808,0.029234114142536072,2.2016666666666675,1.9960539535135051
27,0.8396520085516559,0.7755868969449476,0.029234114142536072,2.2016666666666675,1.9960539535135051
28,0.8397464140331031,0.7778044037744004,0.029209499759497493,2.2000000000000006,1.9961207867218689
29,0.8397464140331031,0.7760060822646953,0.029209499759497493,2.2000000000000006,1.9961207867218689
30,0.8397464140331031,0.7752438564626974,0.029209499759497493,2.2000000000000006,1.9961207867218689
31,0.8397464140331031,0.7778091866258176,0.029209499759497493,2.2000000000000006,1.9961207867218689
32,0.8397519746223195,0.7761315413906845,0.02920779825409232,2.2000000000000006,1.9961864227824613
33,0.8397821297414331,0.7752724567570841,0.02920139869247386,2.1991666666666676,1.9962264433580275
34,0.839825138852363,0.7752009693991362,0.02919046099323692,2.1983333333333337,1.9962639013930088
35,0.839825138852363,0.777290729342534,0.02919046099323692,2.1983333333333337,1.9962639013930088
36,0.839825138852363,0.7747461300514428,0.02919046099323692,2.1983333333333337,1.9962639013930088
37,0.839825138852363,0.7758565680863485,0.02919046099323692,2.1983333333333337,1.9962639013930088
38,0.8400245463248304,0.776040478727061,0.029133015760953365,2.1958333333333337,1.9962970795660597
39,0.8406204230015712,0.776594732981863,0.028973009812026898,2.185833333333334,1.9961878747206845
40,0.8406306424023898,0.7765758342780444,0.028969339259916585,2.185833333333334,1.9961838544817738
41,0.8406306424023898,0.776600614460494,0.028969339259916585,2.185833333333334,1.9961838544817738
42,0.8406306424023898,0.7762591242761536,0.028969339259916585,2.185833333333334,1.9961838544817738
43,0.8406891969403739,0.775654715478194,0.028952886823311597,2.1850000000000005,1.9961729426250985
44,0.8406891969403739,0.7764384903188666,0.028952886823311597,2.1850000000000005,1.9961729426250985
45,0.8407982698510085,0.7768421043042868,0.028922423113469105,2.183333333333334,1.9962294381147423
46,0.8409152245235558,0.775698106755888,0.028887958848623198,2.181666666666667,1.996314102016023
47,0.8409152245235558,0.7748365616919162,0.028887958848623198,2.181666666666667,1.996314102016023
48,0.8409192697366769,0.7767633872010132,0.028882321533914283,2.1825000000000006,1.9963097687924904
49,0.8410286212651944,0.7791414728035638,0.028852605334436208,2.180833333333334,1.9962912809941116
50,0.8412185512510326,0.7766508486472304,0.028802681493662063,2.1775000000000007,1.9963635937191666
51,0.8412185512510326,0.775084453564637,0.028802681493662063,2.1775000000000007,1.9963635937191666
52,0.8412185512510326,0.7772622474719628,0.028802681493662063,2.1775000000000007,1.9963635937191666
53,0.8413777359731925,0.7785256303478609,0.028758239206794108,2.175,1.9962763688242278
54,0.8413777359731925,0.7754660732431097,0.028758239206794108,2.175,1.9962763688242278
55,0.8413777359731925,0.7767569794458445,0.028758239206794108,2.175,1.9962763688242278
56,0.8413777359731925,0.7762577387986229,0.028758239206794108,2.175,1.9962763688242278
57,0.8414278984815158,0.778202036060385,0.028748519662482604,2.1733333333333333,1.9962621507443326
58,0.8414278984815158,0.7781663784209454,0.028748519662482604,2.1733333333333333,1.9962621507443326
59,0.8414278984815158,0.7769976934186126,0.028748519662482604,2.1733333333333333,1.9962621507443326
60,0.8415829188733098,0.7787593978173036,0.02870566661555377,2.170833333333334,1.9962478646669024
61,0.8415829188733098,0.7767684897694221,0.02870566661555377,2.170833333333334,1.9962478646669024
62,0.8415861114592861,0.7780278029728058,0.028704638125845873,2.170833333333334,1.996274404984171
63,0.8416542254583546,0.7776465594633777,0.02868436824706228,2.1700000000000004,1.9962480252633859
64,0.8416560079037257,0.7780244607611595,0.028683575588276042,2.1700000000000004,1.9962048348895072
65,0.8417476520791994,0.7771187430368997,0.028659640681576958,2.168333333333334,1.9962048348895072
66,0.8417759054034081,0.7771774861827084,0.02865388756031999,2.1675,1.9961930956374168
67,0.8418091252583942,0.7785634878499686,0.028641780258799474,2.1675,1.9961721014964264
68,0.842086008602621,0.776645825595583,0.028567876227362683,2.1625000000000005,1.9962355228003417
69,0.8421590106704991,0.7767027314275191,0.028545485537040245,2.161666666666667,1.99619130083759
