Iteration,BestFitness,AvgFitness
0,0.8212707579446494,0.7700801076997048
1,0.8212707579446494,0.7718852004279556
2,0.8212707579446494,0.7688042717774325
3,0.8269328605900959,0.7772613420933525
4,0.831805222305403,0.771541197145438
5,0.831805222305403,0.7729970558751009
6,0.831805222305403,0.777578647397203
7,0.831805222305403,0.7787449411820888
8,0.831805222305403,0.7663978791820427
9,0.831805222305403,0.7692624700628662
10,0.831805222305403,0.7745047579160672
11,0.8356774483070297,0.7675353959407414
12,0.8356774483070297,0.7810322951964289
13,0.8356774483070297,0.7737899044344996
14,0.8356774483070297,0.7723157244757506
15,0.8356774483070297,0.7704194872272973
16,0.8356774483070297,0.7675583440542614
17,0.8356774483070297,0.7704956076809487
18,0.8356774483070297,0.7657573446426731
19,0.8356774483070297,0.7595408932405326
20,0.8356774483070297,0.7734034276412478
21,0.835862036289326,0.7790753365886296
22,0.835862036289326,0.7707758265687408
23,0.835862036289326,0.7745955289002187
24,0.835862036289326,0.7715342091050496
25,0.835862036289326,0.7642108566251307
26,0.835862036289326,0.7613304822149181
27,0.835862036289326,0.780583270826347
28,0.835862036289326,0.7842041429178688
29,0.835862036289326,0.7798377008229089
30,0.835862036289326,0.7756787463399492
31,0.835862036289326,0.7648711502988189
32,0.835862036289326,0.7729905743540252
33,0.835862036289326,0.7693720101364093
34,0.835862036289326,0.7691836763078702
35,0.835862036289326,0.7725227582603518
36,0.835862036289326,0.7657718096934013
37,0.835862036289326,0.7672055437926095
38,0.835862036289326,0.770218847518466
39,0.835862036289326,0.7649080428452908
40,0.8361686183138858,0.7758945135745401
41,0.8361686183138858,0.7740549771363774
42,0.8361686183138858,0.7704290783192851
43,0.8361686183138858,0.7756975521365612
44,0.8361686183138858,0.7796854018959956
45,0.8361686183138858,0.7666204955885941
46,0.8361686183138858,0.7784733616757692
47,0.8361686183138858,0.769271250073015
48,0.8361686183138858,0.7678401467368838
49,0.8361686183138858,0.7760482215129745
50,0.8361686183138858,0.7774405873380974
51,0.8361686183138858,0.7607067943061064
52,0.8361686183138858,0.7712875585879083
53,0.8383080107006281,0.7847211031847315
54,0.8383080107006281,0.7656163898389025
55,0.8383080107006281,0.7793197062990612
56,0.8383080107006281,0.7692398474720303
57,0.8383080107006281,0.7683433344961303
58,0.8383080107006281,0.774121825967728
59,0.8383080107006281,0.7822255201596063
60,0.8383080107006281,0.768905611703214
61,0.8383080107006281,0.7710937812442541
62,0.8383080107006281,0.7646885563100723
