Run,Seed,Best_Fitness,Best_Energy_J,Best_Delay_Hops,Min_Residual_J
1,42,0.8682406210974902,0.021679630478894096,1.75,1.997607584362039
2,43,0.8628290802883596,0.023096279605594232,1.825,1.9938210029654115
3,44,0.8684041854319106,0.02162565641768318,1.75,1.9976765710502946
4,45,0.8699080971171463,0.021252450406613815,1.725,1.9975417804996294
5,46,0.868052836861603,0.021739375014263308,1.75,1.9969308541424327
6,47,0.875254855057062,0.019869502203766688,1.65,1.9969141648250843
7,48,0.8748400628523474,0.020006207497397857,1.65,1.9972538720004753
8,49,0.8737429465976178,0.020243093386374825,1.675,1.9980687246402902
9,50,0.8637868449314915,0.0227867303506738,1.825,1.9969315634361544
10,51,0.8733557162568516,0.020369844482963816,1.675,1.998038975996108
11,52,0.8613982361869712,0.023463242406376518,1.85,1.9966545041746975
12,53,0.8816762945849568,0.01829186657566725,1.55,1.997626221272683
13,54,0.8744848695613979,0.020124229493791584,1.65,1.9977728395356424
14,55,0.881976054950923,0.018197315012618783,1.55,1.998110482648668
15,56,0.8617888894571241,0.023330410201974086,1.85,1.9963166613989791
16,57,0.8718145165969773,0.02075115970771462,1.7,1.9981125993851365
17,58,0.8844374344077435,0.01765996094681121,1.5,1.998508840355525
18,59,0.8630027410014615,0.023047365520759786,1.825,1.9963128663509275
19,60,0.8794399770711328,0.018884987818827487,1.575,1.9968505869686954
20,61,0.8730879783762054,0.020457613448480075,1.675,1.9980357660811021
21,62,0.8835780175002114,0.01793105518818636,1.5,1.9974863757291552
22,63,0.8814345369714548,0.018371610629207658,1.55,1.998151103343057
23,64,0.8632116443285266,0.022979114385062314,1.825,1.9968058269660145
24,65,0.8768024407008173,0.019494846239579155,1.625,1.998109177504231
25,66,0.8743783775856934,0.020156791894003344,1.65,1.9971728363165127
26,67,0.8647604212834421,0.022585762511008217,1.8,1.9968982237719703
27,68,0.8786309397736667,0.019023097963786095,1.6,1.9972107473014218
28,69,0.8734706728134519,0.02032430041131131,1.675,1.995946425071137
29,70,0.855690971577962,0.024897135188755443,1.95,1.9961636033328582
30,71,0.8814653631675409,0.018359920157092383,1.55,1.9976796752144617
