Run,Seed,Best_Fitness,Best_Energy_J,Best_Delay_Hops,Min_Residual_J
1,42,0.8682757364903916,0.02166954367476355,1.75,1.998022197810788
2,43,0.8628384449434624,0.023093134917804264,1.825,1.9938210029654115
3,44,0.8684579102265684,0.021606266084114506,1.75,1.997255999558677
4,45,0.8699709101652437,0.021231700708954856,1.725,1.9975417804996294
5,46,0.8680658771270066,0.021735048605061542,1.75,1.9969308541424327
6,47,0.8752813374081141,0.019860860202017556,1.65,1.9969141648250843
7,48,0.8748591636688814,0.02000155064414798,1.65,1.9976747474289789
8,49,0.8737805822217637,0.020230769347509194,1.675,1.9980687246402902
9,50,0.8638529121767656,0.022764595335690696,1.825,1.9969315634361544
10,51,0.8733831135437501,0.02035924069185309,1.675,1.9976067711953296
11,52,0.8614266646623205,0.023451996589129866,1.85,1.9962113171965348
12,53,0.8817491317073891,0.018270055878707846,1.55,1.9980551843939025
13,54,0.8745067402027401,0.020117079822647006,1.65,1.9977728395356424
14,55,0.8820325718732948,0.0181791524512236,1.55,1.998110482648668
15,56,0.8618223169372067,0.023319158323816085,1.85,1.9963166613989791
16,57,0.8718369433879797,0.02074378325130448,1.7,1.9981125993851365
17,58,0.8844883641163968,0.017643684786437904,1.5,1.998508840355525
18,59,0.8630307959657161,0.023037948549171156,1.825,1.9963128663509275
19,60,0.8794680024324805,0.018875929137484652,1.575,1.9968505869686954
20,61,0.8731066063946132,0.02045150429010051,1.675,1.9980357660811021
21,62,0.8835940347410518,0.01792592621962844,1.5,1.9974863757291552
22,63,0.8814910103945148,0.018354401608841654,1.55,1.998407160378568
23,64,0.8632504744764807,0.02296768284308993,1.825,1.9972300985952627
24,65,0.8768679425923401,0.01947354730365226,1.625,1.998109177504231
25,66,0.8743860567107744,0.02015590681740002,1.65,1.9976052882712967
26,67,0.8647637453914245,0.022584651235216587,1.8,1.9968982237719703
27,68,0.8786729434268049,0.01901110177769211,1.6,1.9976377834012187
28,69,0.8735247349485589,0.020306586695729267,1.675,1.995946425071137
29,70,0.8557082602571936,0.024889583021059196,1.95,1.9957255577528294
30,71,0.8814936177892239,0.01835082929475032,1.55,1.9976796752144617
