Generation,MaxFitness,AvgFitness,Diversity,TotalEnergy_J,AvgDelay_Hops,MinResidual_J
0,0.825236023375777,0.775455570931489,30.72785185185185,0.033218519729468314,2.4466666666666668,1.9948759334197812
1,0.8311652145948825,0.7927576331602938,30.006747474747478,0.03156519542859249,2.3458333333333328,1.9950783121319142
2,0.8372195545434903,0.8047263537918236,28.73991919191919,0.029891998609865564,2.2449999999999997,1.9959358541286565
3,0.8418234161897173,0.8147240168398349,27.20100336700337,0.028644196503858143,2.1683333333333334,1.996386744413981
4,0.8463474031515607,0.8230690516785155,25.498020202020204,0.027436859565895887,2.0925000000000002,1.9965771558664012
5,0.8498821247564213,0.8304844305921095,23.75322558922559,0.026484970706131865,2.0366666666666666,1.996555441767248
6,0.8535344909583926,0.8366076498565022,22.065919191919196,0.025523228638442898,1.9766666666666666,1.9967024253013268
7,0.8564968594209023,0.8419554177489814,20.39117845117845,0.024746510382733383,1.9300000000000002,1.9969266544071997
8,0.8589637455541292,0.8463313169540269,18.960996632996636,0.02410311463606769,1.8908333333333336,1.9969624704624889
9,0.8611843876749563,0.8503594218639151,17.52894276094276,0.023528869504314445,1.855,1.9972411932908551
10,0.8631343450032996,0.8540794459799289,16.078632996633,0.0230264298964916,1.8241666666666667,1.996878092585221
11,0.8646993676847777,0.857096925765368,14.65562962962963,0.02262972071375436,1.7991666666666668,1.9971351357101845
12,0.8662880894598067,0.8596956737514901,13.385892255892259,0.022221490891213686,1.775,1.997166449422586
13,0.8678216945635988,0.8620336232210094,12.091057239057239,0.02183195690484494,1.7508333333333337,1.9971709188154338
14,0.8685699909054051,0.8638706195996348,10.932646464646465,0.021639274145205105,1.7400000000000004,1.997275344164072
15,0.8691851217794068,0.865473379781992,9.891461279461277,0.02148107248211453,1.7308333333333334,1.997312109884821
16,0.8697721947344668,0.8667133892963202,8.923643097643097,0.021328764905482103,1.7225000000000004,1.9973240361865332
17,0.8703088932074612,0.8677630417557383,8.086720538720538,0.021193649758103297,1.7141666666666668,1.997320285789039
